category_name,product_title,original_price,discount_price,dicount_rate
여행/티켓,[추가할인] 제주렌트카 완전/고급자차포함 특가! 전차량금연&후방카메라! 야간인수무료(~22시),12000,12000,
여행/티켓,오크밸리리조트(강원도/오크밸리/오크밸리리조트/원주여행/콘도추천/리조트/추천원주/콘도예약/콘도할인/당일예약/강원도숙소/가족여행),85400,79000,
여행/티켓,롤링힐스호텔(화성호텔/롤링힐스뷔페/화성롤링힐스호텔/경기롤링힐스호텔/가족호텔/화성롤링힐스호텔/특급호텔할인/가족수영장/화성호텔/경기호텔/호텔예약/경기도호텔/롤링힐스조식),155000,145000,
여행/티켓,제주도 렌터카 완전자차포함가 ~4/28 (신차조아/신차 블랙박스후방카메라/전차종금연/최신형/제주도 렌트카),17500,14900,
전체,[동원] 라이트 85g x 20캔 (외 고추참치 or 참치콘 중 택1) + 마요네즈or리얼킹or구구마우유죽or카놀라유),21600,15980,
스포츠/레저,[블랙야크&키즈] S/S 시즌 자켓&티셔츠 외 의류 스페셜혜택,14900,14900,
도서,15%추가쿠폰! [그린키즈] 홈스쿨링 워크북/놀이북세트 특가!,6900,6900,
여행/티켓,제주도렌트카 완전자차 한진렌터카 자차한도무제한,10000,7900,
여행/티켓,[강원] 태백선 눈꽃열차(영월~고한)+영월(선암마을/선돌/청령포) 당일버스여행/겨울눈꽃여행/ 서울경기出,31900,25900,
여행/티켓,[2~3월요금인하/제주 제주로] 전차종 후방카메라/경차 소형 준중형 중형~20년4월27일/고급자차포함가/신차최다보유/제주도 렌터카/제주로렌트카/신차,14900,12400,
가전,"[타임딜][쿠폰가15,840원]][유닉스] 신제품 로맨틱핑크 이온헤어드라이어 UN-B1613",22000,22000,
전체,[워너비20%쿠폰+투썸1만원]팸퍼스 베이비드라이 팬티/밴드 기저귀 2박스,106800,99800,
전체,"[타임딜] [배송비체험] 라네즈 래디언C X 레모나 짝꿍KIT, 6000명 선/착/순 체험단!",2500,2500,
전체,"[의약외품] 디펜스 프리미엄 손소독제 60mlx2개,3개 에탄올손세정제 / 휴대용청결제 유해균제거 알로에보습",11900,5900,
스포츠/레저,멜킨 트램폴린 점핑 운동 다이어트 방방이 유아 성인 트렘폴린,35000,30800,
스포츠/레저,[웨스트우드] S/S 베스트상품 특가전,10000,10000,
스포츠/레저,멜킨스포츠 치닝디핑 가정용철봉 모음전 포스 마스터킹 턱걸이기구 실내철봉,129000,113520,
도서,[세이펜 정기공구] 세이펜 특별구성,176000,176000,
도서,(T멤버십15%추가+스프링노트.형광펜외)20년1학기 우등생해법.백점 세트.우공비.동아전과.완자.한오개세트 초등.만점왕 초등문제집,30000,27000,
도서,[세이펜] 전집 골라담기/ 세이펜적용 인기 전집,35000,35000,
자동차/취미,[타임딜] 사무용품 문구 100종 데스크매트 포스트잇 볼펜 계산기 인주 칼 매직 클립 스테플러 테이프,3490,2900,
