title,user,content
과거에서 온 한 남자입니다.,smc7****,"지금은 2015년 8월 14일. 내일은 광복절이죠.이영화가 나올때는 딱 고3 이네요. 아마 그때 다시 이글을 읽으며 이불킥하겠죠?이 영화를 볼수 있을지나 모르겠네요. 수능 공부하다, 사고나거나, 정은이 때매 세계전쟁이 일어나 대한민국이 ..."
"타노스, 당신을 또 잊지 않겠습니다.",mdzw****,이 영화는 아벤져수인지 어벤져스인지 하는 미제앞잡이 벌레 무리들에 대한 영화가 아닌우주를 진정으로 사랑하는 마음씨와 노블리스 오블리쥬의 정신을 가진 퓨어블러드 타노스가선지자의 깨우침을 알지 못 한 우매하고 멍청한 어벤져스...
(2회차 관람 후 추가)어벤져스 엔드게임이 졸작인 이유. 나의 1년의 기다림을 망침.,artw****,<!장문주의!스포일러!> 어제 용산 아이맥스로 2회차 관람하고 왔습니다. 역시 영화는 두 번 보면 다른 점도 보이네요. 결론적으로 별점부터 수정합니다. 2점 더 주고 4점 가겠습니다. 많은 댓글에서 속이 꼬였다고 하시는 분들도 많...
참나 네이버 일 똑바로 안하네여,tkeh****,"팬들도 많고 관심도 많이 쏠리는 영환데가장 중요한 영화제목도 제대로 못 올리네요여러분 어벤져스4 정식 명칭은 ""가망없음""입니다.네이버는 빠른 정정 부탁드립니다.-----------------------------------------------------------------..."
데드풀이 어떻게 욕해줄지 기대되는 영화: 오랜 팬에게 선사한 최고의 기만,frit****,"데드풀이 어떻게 욕해줄지 기대되는 영화:오랜 팬에게 선사한 최고의 기만 ""어벤져스: 엔드게임(2019)""<엔드게임>을 포함한 대부분의 MCU 영화의 스포일러를 포함하고 있습니다.나는 <아이언 맨 1>로 MCU를 좋아하게 되었다...."
어벤져스: 엔드게임 진솔한 후기(대량 스포 있음 영화를 보지 않으신 분은 보지마세요).,redg****,어벤져스: 엔드게임 진솔한 후기(대량 스포 있음 영화를 보지 않으신 분은 보지마세요.)영화 내용? 너무 재미있다 근데 왜 1점이냐고?'기대와 설렘이 없다.'내 인생에서 두번째로 재미있는 영화는 인피니티 워였다. 영화관에서 4번 인터넷...
"10년동안 쌓은 금자탑을 한방에 무너뜨린 졸작(설정붕, 벨붕, 스토리붕)",babo****," 엔드게임을 너무 기대하고 관람해서일까,, 마블영화를 지금까지 봐오면서이렇게 개연성이 없는 스토리가 낭자하고, 캐릭터 밸런스, 설정 붕괴가 심한 졸작은 처음이었다.영화에 나온 내용을 기초하여 어떤 부분이 영화를 졸작으로 만들었..."
[어벤져스 : 엔드게임] 기대치에는 못 미치네,humn****,[스포일러]썩 괜찮지만 그렇게까지 열광할만한 영화인지는 모르겠습니다. 특히 루소 형제의 MCU영화중에선 가장 아쉬운 영화였던것같습니다. 일단 MCU를 일단락짓는 영화로서의 역할은 독톡히 해내고 있습니다.히어로 외에도 정말 많은 조...
과거에서 왔습니다:) 기대합니다!,s220****," 4일 뒤 캡틴 아메리카:시빌 워가 개봉을 하는데요, 이 이후로 히어로들 사이가 어떻게 변하고 또 스토리가 어떻게 전개가 될 지 모르겠네요 ㅎㅎ 아무튼 타노스성님이 울트론처럼 극강너프를 먹거나 그냥 멍청한 보라돌이 괴물이 되지 않..."
어벤져스: 엔드게임 _ 우리 세대의 saga.(스포없음),full****,"영화를 보고나서 글을 쓰는게 정상적이지만, 이 영화는 그 기대감자체가 너무나도 크기에 이렇게 영화를 보기 전부터 적는다. 지난 10년간, 수 많은 영화들을 하나로 묶어낸 마블은 그 안에서도 다양한 변주를 해왔다. 개그감이 가미된 히..."
내가 여태까지 본 영화중에 가장 멋진 액션이고 가장 슬픈 영화였다.,n970****,.영화 제작진분들에게 정말 감사하다나에게 이런 멋진영화를 보여주게하고 이런 완벽한 영화를 선물해준거에 정말 감사하다..영화를보는내내 1초라도 놓칠 장면이 없을정도로 완벽한 퀄리티고 내가 어벤져스를보면서 눈물을 흘릴뻔했다는...
스포) 마지막 30분을 위한 개연성 없는 팬서비스 영화,kija****,"솔직히 이런 슈퍼 히어로 물 오락 영화에서개연성 따지기 시작하면 끝이 없기는 한데,이건 그래도 너무 선이 넘었음.솔직히 재밌다 재미없다는 사람의 호불호 영역이니 다 집어치우고백번 양보해도 이해할 수 없는 스토리 부분이 존재함.-..."
