dis_price,dis_rate,main_category_name,ori_price,sub_category_name,title
52000,0,여행,52000,ALL,[키자니아](문자발송)직업체험 NO.1 키자니아 오픈 10주년 기념 1+1 이벤트 (2/15~4/5)
21900,12,식품,21900,ALL,[매일우유]매일 멸균우유 200ml 48팩/우유
48000,0,여행,48000,ALL,(인증번호 문자수신)19/20 곤지암리조트 리프트권
100,0,여행,100,ALL,현대백화점면세점 동대문점 오픈기념 100원딜 (선착순 3000명)
200000,69,여행,200000,ALL,(카드10%할인) 오크밸리 1.5 스키 시즌권
27750,7,e쿠폰/티켓,27750,ALL,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권 3만원 /온라인 전용
24500,9,식품,24500,ALL,[아침농산]국산 농부의아침 쌀10kg  백미 2019년산 햅쌀
45900,9,식품,45900,ALL,황금미가 쌀 20kg 19년산 (당일도정)
17900,28,식품,17900,ALL,[오뚜기밥]맛있는 오뚜기밥 210g x 24개입(1박스)
16720,1,스포츠/자동차,16720,ALL,3D 입체 면 마스크 블랙3개 검정 패션 자전거 연예인
24900,0,생활/주방/건강,24900,ALL,국내생산) KF94 미세먼지 대형 일회용마스크/손소독제
51130,10,컴퓨터/전자,51130,ALL,[위닉스](정품) 공기청정기필터 제로S 전용필터 CAF-I0S3
31200,35,도서/음반,31200,ALL,스콜라스틱 파닉스리더스 A~F 워크북 세트
20900,67,가구/침구,20900,ALL,[바자르]바자르 봄맞이 차렵이불베개세트
28800,20,여행,28800,ALL,[키자니아](문자발송)직업체험 NO.1 키자니아_서울/부산 이용권(~20.2.29까지 사용가능)/서울/부산/직업체험/
30000,46,여행,30000,ALL,(공식판매처)얼리버드 에버랜드 종일권(~20/6/30)
37000,0,여행,37000,ALL,[비발디파크](카드즉시할인10%) 강원 홍천 비발디파크 스키 보드 리프트권+장비렌탈 패키지(문자발송)
100,0,e쿠폰/티켓,100,ALL,(이달의 신생활) 오윈 GS칼텍스 5천원 할인쿠폰
30000,0,e쿠폰/티켓,30000,ALL,[컬쳐랜드문화상품권](컬쳐랜드) 온라인 문화상품권 3만원+8%캐시백
28950,3,e쿠폰/티켓,28950,ALL,[에쓰오일](S-OIL) 모바일주유권 3만원/ 실시간발송/ 주유상품권
18450,25,화장품/헤어,18450,ALL,[닥터브로너스][닥터브로너스] 퓨어 캐스틸 솝 950ml (+ 거품용기 증정 2/21~24일까지)
23000,4,유아동/출산,23000,ALL,사은품증정 바이오클퓨어 4L 제균스프레이 살균소독제
29900,0,식품,29900,ALL,CJ 비비고 왕교자1.05KGX5+찐만두168G
30320,20,식품,30320,ALL,[햇반]CJ 햇반 210g x 6EA x 6개(총36개)
18290,0,스포츠/자동차,18290,ALL,크린탑 안면 여과식 방진 마스크 C250WS 흰색 20EA
