순위,브랜드,제품명,가격
1위,브랜디드,1931 OBJECT JEANS [CROP STRAIGHT],"59,000원"
2위,무신사 스탠다드,베이식 블레이저 [블랙],"69,900원"
3위,아디다스,BW 독일군 스니커즈 - 화이트 / BZ0579,"129,900원"
4위,무신사 스탠다드,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],"31,900원"
5위,쿠어,20SS 탑필 울 라운드 니트 (웜샌드),"69,300원"
6위,네이키드니스,ABSOLUTE BACKPACK / BLACK,"75,200원"
7위,모디파이드,[20 S/S] M1665 글렌체크 싱글 블레이져,"108,000원"
8위,컨버스,척 70 클래식 파치먼트 162053C,"87,400원"
9위,플랙,KURZ B14 RAW 블랙 크롭진,"55,000원"
10위,엘바테게브,미니백-페일스톤,"158,100원"
11위,커버낫,CORDURA AUTHENTIC LOGO RUCK SACK BLACK,"89,000원"
12위,세븐셀라,20SS [무신사 단독특가] 미니멀 스탠다드 카고조거 슬랙스,"57,900원"
13위,무신사 스탠다드,세미 와이드 히든 밴딩 슬랙스 [블랙],"31,900원"
14위,모드나인,Punk Town - MOD4 crop,"78,400원"
15위,피스워커,Mine worker ST Develop / NewCrop,"62,300원"
16위,컨버스,척 70 클래식  파치먼트 162062C,"84,550원"
17위,라퍼지스토어,[Unisex]버핑레더 라이더자켓,"79,800원"
18위,도프제이슨,램스킨 100 라이더 자켓,"199,400원"
19위,도프제이슨,카우하이드 싱글 자켓,"199,400원"
20위,쿠어,울 오버핏 블레이져 (블랙),"152,100원"
21위,쿠어,울 오버핏 블레이져 (크림),"152,100원"
22위,피스워커,Plant Manager2 / New Crop,"62,300원"
23위,제로,Classic Sweat Pants [Grey],"39,000원"
24위,로맨틱크라운,ROUND COLLAR COTTON CARDIGAN_NAVY,"66,300원"
25위,알파 인더스트리,MA-1 레귤러핏 - 블랙 / MJM21000C1-BLK,"215,000원"
26위,칼하트,써멀후드집업 블랙 / 100632-001,"89,000원"
