기사제목,언론사,리뷰횟수,섹션
"지성호 “김정은, 지난 주말 수술 쇼크로 사망했다”",국민일보,424231,정치
"지성호 ""김정은 지난 주말 사망.. 99% 확신"" 주장",조선일보,422415,정치
"[인터뷰] ""김정은 사망 99% 확신"" 지성호 주장 이유는?",SBS,354104,정치
"휴가 취소하고 걸어서 곰탕집 간 文 ""식당 이용 활발했으면""",중앙일보,269740,정치
"지성호 ""김정은 사망 99% 확신"", 청와대 ""특이동향 없다""(종합)",연합뉴스,254369,정치
사라진 김정은… 평양도 수군거리기 시작했다,조선일보,236975,정치
코로나 수그러들자 文지지율 심상찮다···9주연속 올라 64%,중앙일보,220785,정치
지성호 “김정은 지난 주말 사망 99% 확신”…정부 “이상 없다”,중앙일보,200135,정치
"1주일만에 또... '죽음의 백조' 6대 출격, 32시간 날았다",조선일보,150879,정치
"文, 1년만에 삼청동서 식사 ""식당 이용 활발해졌으면…""",매일경제,143410,정치
'김여정 후계자설' 솔솔...위상 변화 주목,YTN,136811,정치
"이번엔 지성호 ""김정은 사망 99%""…""근거없는 상상""",MBC,136489,정치
"60대 보수도 ""문 대통령, 잘한다""…지지율 또 올라 64%(종합)",뉴스1,128017,정치
"부담 각오한 지성호 ""김정은 사망으로 알고 있다""",파이낸셜뉴스,127930,정치
靑 “특이동향 없다”는데…지성호 “北김정은 사망 99%확신”(종합),이데일리,123073,정치
美 “김정은 유고..김여정 승계 가능성 커”,파이낸셜뉴스,119823,정치
"지성호 당선자 “지난 주말 김정은 사망 99% 확신…청, “특이동향 없어“",한겨레,119431,정치
"'정수장학회' 양정숙, 어떻게 민주당에 들어갔을까?",YTN,112105,정치
"“15년 성폭행한 친부, 보복 두렵다” 청원에 청와대 답변은",국민일보,109165,정치
"문정인이 틀렸나... 대만 정보수장 ""北김정은 아프다""",서울경제,108095,정치
"지성호 ""김정은, 수술 후유증으로 지난 주말 사망""…정부는 ""특이동향 없다""",조선비즈,104342,정치
"""김정은 후임은 누구""…외신들, '백두혈통' 김여정에 주목",연합뉴스,96254,정치
"""100% 지급 오늘 발표"" 기재부 들쑤신 이인영의 '모닝 통첩'",중앙일보,95542,정치
‘축전’ 보내고 ‘감사’ 표하고…20일 째 안 보이는 김정은의 바쁜 일정,KBS,94711,정치
"[전문]홍준표 “통합당, 황교안의 무능과 박형준의 몽상이 만든 잡탕”",서울경제,94085,정치
이준석 “지금 통합당 대표 뽑으면 ‘무관심’이 1등 할 것”,경향신문,93641,정치
"지성호 ""김정은 지난 주말 사망"" vs 靑 ""특이 동향 없어""",한국경제,87460,정치
김정은 사망설 진실은?···지성호 “이번 주말께 사망 발표할 것”,서울경제,85790,정치
"'사전투표 조작 주장' 민경욱 ""나우 유 씨 미?""",JTBC,84406,정치
"지성호 ""김정은 사망 99% 확신…심혈관 수술 후유증""",뉴시스,83097,정치
"[속보] 사망설 김정은, 비료공장 준공식 참석…김여정이 수행",중앙일보,457048,정치
"""김정은 못걸어""""99% 사망""…머쓱해진 北출신 태영호·지성호",중앙일보,433198,정치
"김정은 죽었다던 지성호·태영호 ""아직도 의문, 좀더 지켜보자""",머니투데이,405759,정치
20일만에 등장한 김정은 동영상 보니...웃고 있지만 다리 불편해보여,조선일보,321943,정치
"'사망설'김정은, 20일만에 공개활동…어제 비료공장 준공식 참석(종합)",연합뉴스,321930,정치
"사망설로 세계를 흔든 김정은, '보란 듯' 함박웃음으로 건재과시",연합뉴스,319456,정치
"외신도 긴급보도…WP ""김정은, 부하 발열로 원산 가있었다""",중앙일보,317637,정치
"잠행 깬 김정은, 20일만에 공개활동…비료공장 준공식 참석(종합)",뉴시스,299252,정치
"소방청 ""고성 산불 진화에 소방차 314대·인력 1천846명 투입""(종합)",연합뉴스,291135,정치
"태영호·지성호, 대북정보력 한계 노출…""무책임"" 비판 불가피",연합뉴스,287583,정치
[영상] 사망설 보란듯 20일만에 등장…김정은 웃고 박수쳤다,중앙일보,285950,정치
"사망설 김정은 20일만에 공개활동…北, 보란듯 사진 21장 공개",중앙일보,276663,정치
"김정은, 20일만에 나타났다...김여정 데리고 비료공장 준공식 참석",조선일보,249574,정치
20일 만에 모습 드러낸 김정은…“준공식에서 테이프 끊었다”,국민일보,247923,정치
지성호 “김정은 지난주 사망 99% 확신… 정보 출처는 못 밝혀”,세계일보,244482,정치
"""코마상태""·""사망 99%"" 김정은, 버젓이 등장",프레시안,239712,정치
20일만에 등장한 김정은…그래도 안풀리는 3대 궁금증,매일경제,229398,정치
"김정은, 비료공장 준공식 참석…20일 만에 건재함 과시",한국경제,224481,정치
‘사망설’ 제기했던 지성호·태영호 “속단 말고 더 지켜봐야”,서울신문,210953,정치
김정은 심혈관 질환만 불안? '180도 뒤틀린 왼손목' 걸린다,중앙일보,198332,정치
‘김정은 99% 사망’·‘못 걷는다’…태영호·지성호 “무책임”,KBS,191761,정치
"김정은이 탄 '의문의 카트'... 태영호 ""뇌졸중 앓았던 김정일이 탔던 것""",조선일보,190778,정치
'99% 사망''김여정 승계'...호들갑 정치인들 이제 무슨 말할까,뉴스1,182349,정치
"유도 올림픽 은메달리스트 왕기춘, 미성년자 성폭행 혐의로 구속",서울신문,178994,정치
"20일만 '깜짝' 등장 김정은, '사망설' 포함 온갖 억측 잠재워",연합뉴스,177096,정치
"지성호 ""北김정은 사망 99% 확신""... '주말 발표' 예언 통할까",서울경제,174888,정치
"북 조선중앙통신, 김정은 행보 20일 만에 공개···""노동절 맞아 비료공장 준공식 참석""",경향신문,172395,정치
"""北 특이동향 없다 자신"" 김정은 등장에 김연철 발언 재주목",중앙일보,172125,정치
'가짜뉴스' 비판 커지자...태영호·지성호가 내놓은 입장,YTN,163915,정치
"""김정은 팔아 장사 한 사람들 또 아무 일 없듯…""",미디어오늘,156115,정치
"합참 ""아군 GP에 북한 총탄 피탄·대응사격…피해 없어""(종합)",연합뉴스,270766,정치
"[밀톡]원산서 말 타는 김정은 표정, 미국의 '눈'이 보고 있었다",조선일보,228229,정치
"北, 우리 GP에 수차례 총격... 군, 대응 사격",조선일보,227794,정치
"北, 우리 GP에 수차례 총격…9·19 군사합의 이후 처음(종합)",뉴시스,215673,정치
"정총리 ""6일부터 생활속 거리두기…위기단계 조정도 논의""(종합)",연합뉴스,189385,정치
태영호 “못 걸어” 지성호 “사망”…컴백 김정은 ‘뚜벅뚜벅’,이데일리,185616,정치
합참 “북한이 GP에 수차례 총격… 우리군 대응사격”,국민일보,182209,정치
외신들 ‘김정은 건재’ 긴급 타전…CNN “사진 진위·촬영일 확인 못해”,이데일리,177554,정치
"GP에 총알자국 4개 선명한데…軍 ""안개 짙어 고의는 아닐것""",조선일보,155150,정치
"김정은 건재 자신했던 이유…한·미, 北 '훑고 들으며' 진실 캤다",중앙일보,153019,정치
"합참 ""北, 우리측 GP에 총탄 수발 발사...우리 군도 대응사격""",YTN,151904,정치
"靑 “김정은, 수술이나 시술 안 받았다···태영호·지성호 유감”",중앙일보,144444,정치
"[속보] 기재부 1차관 “전국민 고용보험, 간단한 문제 아냐”",세계일보,138963,정치
"北, 9·19 군사합의후 첫 총격…`의도적` `우발적` 해석 엇갈려",매일경제,137946,정치
"김정은이 탄 렉서스, 1주일전 안보리가 콕찍은 제재물품",조선일보,136746,정치
'걷지 못하는 상태' '99% 사망 확신' 억측 쏟아낸 당선인들,JTBC,125277,정치
"북, 남쪽  GP에 총격…군 “군사합의 위반”",한겨레,119875,정치
김정은 건재 과시 이틀 만에 ‘탕탕!’… 北 왜 이러나?,세계일보,118794,정치
[영상] 사망설 보란듯 20일만에 등장…김정은 웃고 박수쳤다,중앙일보,115949,정치
"[보고] 김정은 등장 다음날···北, 우리군 GP 향해 총쐈다",중앙일보,115495,정치
태영호 '추가 의문' 보란듯 김정은 '영상'도 바로 공개한 북한,이데일리,115469,정치
